Participant ID,Name of CCASS Participant(* for Consenting Investor Participants ),Address,Shareholding,% of the total numberof Issued Shares/Warrants/Units
B01119,CELESTIAL SECURITIES LTD,9/F LOW BLOCK GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG,"531,431",0.01%
B01362,JOSPA INVESTMENT CO LTD,303-5 YUE SHING COMMERCIAL BLDG 15-16 QUEEN VICTORIA STREET CENTRAL HONG KONG,"516,420",0.01%
B01228,CITIC SECURITIES BROKERAGE (HK) LTD,26/F CITIC TOWER 1 TIM MEI AVENUE CENTRAL HONG KONG,"491,294",0.01%
B01494,AUDREY CHOW SECURITIES LTD,6/F GRAND BUILDING 15-18 CONNAUGHT ROAD CENTRAL HONG KONG,"468,809",0.01%
B01275,SANFULL SECURITIES LTD,RM 2001-2006 COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"462,515",0.01%
B01137,CHOW SANG SANG SECURITIES LTD,RM 1704-1710 KORNHILL PLAZA-OFFICE TOWER 1 KORNHILL ROAD QUARRY BAY HONG KONG,"454,916",0.01%
B01246,ROCTEC SECURITIES CO LTD,RM 2406 24/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG,"432,757",0.01%
B01673,FULBRIGHT SECURITIES LTD,33/F COSCO TOWER GRAND MILLENNIUM PLAZA 183 QUEEN'S ROAD CENTRAL HONG KONG,"431,695",0.01%
B01289,SOUTH CHINA SECURITIES LTD,28/F BANK OF CHINA TOWER 1 GARDEN RD CENTRAL HONG KONG,"430,850",0.01%
B01355,CHINA EVERBRIGHT SECURITIES (HK) LTD,24/F LEE GARDEN ONE 33 HYSAN AVENUE CAUSEWAY BAY HONG KONG,"406,992",0.01%
B01392,TAIFAIR SECURITIES LTD,RM 701 DINA HOUSE RUTTONJEE CENTRE 11 DUDDELL STREET CENTRAL HONG KONG,"405,300",0.01%
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING,17 TAIPING QIAO STREET XICHENG DISTRICT BEIJING CHINA,"404,000",0.01%
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,11/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG,"378,180",0.00%
B01423,PRUDENTIAL BROKERAGE LTD,RM 901-904 WORLD WIDE HOUSE 19 DES VOEUX ROAD CENTRAL HONG KONG,"376,128",0.00%
B01347,CGS-CIMB SECURITIES (HONG KONG) LTD,25/F GLOUCESTER TOWER THE LANDMARK 15 QUEEN'S ROAD CENTRAL HONG KONG,"356,404",0.00%
B01813,CCB INTERNATIONAL SECURITIES LTD,12/F CCB TOWER 3 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG,"353,492",0.00%
B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,LEVEL 19 28 HENNESSY ROAD HONG KONG,"345,631",0.00%
B01818,I-ACCESS INVESTORS LTD,SUITES 3208-3211 32/F TOWER TWO TIMES SQUARE 1 MATHESON STREET CAUSEWAY BAY HONG KONG,"342,522",0.00%
B01801,KIN FUNG STOCK CO LTD,RM 2105 21/F MELBOURNE PLAZA 33 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"329,340",0.00%
B01356,DELTA ASIA SECURITIES LTD,5/F LUK KWOK CENTRE 72 GLOUCESTER ROAD WANCHAI HONG KONG,"327,035",0.00%
B01175,F. R. ZIMMERN LTD,RM 1330 PRINCE'S BUILDING 10 CHATER ROAD CENTRAL HONG KONG,"317,955",0.00%
C00026,CHONG HING BANK LTD,11/F CHONG HING BANK CENTRE 24 DES VOEUX ROAD CENTRAL HONG KONG,"317,164",0.00%
B01450,DL BROKERAGE LTD,1/F WING'S BLDG 110-116 QUEEN'S ROAD CENTRAL HONG KONG,"302,805",0.00%
B01939,CHINA INVESTMENT SECURITIES,RM 7701A & 7705B-7708 LEVEL 77 INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"299,349",0.00%
B01416,VC BROKERAGE LTD,28/F THE CENTRIUM 60 WYNDHAM STREET CENTRAL HONG KONG,"286,293",0.00%
B01267,WINFULL SECURITIES LTD,RM 1402 FORTIS BANK TOWER 77-79 GLOUCESTER ROAD WANCHAI HONG KONG,"286,129",0.00%
B01290,SPS SECURITIES LTD,1/F-2/F PINNACLE BUILDING 9 SHIP STREET WANCHAI HONG KONG,"278,331",0.00%
B01298,GET NICE SECURITIES LTD,10/F COSCO TOWER GRAND MILLENNIUM PLAZA 183 QUEEN'S ROAD CENTRAL HONG KONG,"275,768",0.00%
B01425,WELLFULL SECURITIES CO LTD,RM 406 4/F HOUSTON CENTRE 63 MODY ROAD TSIMSHATSUI EAST KOWLOON,"271,803",0.00%
B01686,FIRST SHANGHAI SECURITIES LTD,19/F WING ON HOUSE 71 DES VOEUX ROAD CENTRAL HONG KONG,"266,776",0.00%
B01123,HING WONG SECURITIES LTD,19/F UNIT A&B UNITED CENTRE 95 QUEENSWAY HONG KONG,"257,291",0.00%
B01685,GRAND INVESTMENT (SECURITIES) LTD,UNIT A3 32/F UNITED CENTRE 95 QUEENSWAY HONG KONG,"247,294",0.00%
B01849,CIS SECURITIES ASSET MANAGEMENT LTD,21/F TESBURY CENTRE NO. 24-32 QUEEN'S ROAD EAST WANCHAI HONG KONG,"245,852",0.00%
B01184,OCEANWIDE SECURITIES CO LTD,18/F-19/F CHINA BUILDING 29 QUEEN'S ROAD CENTRAL HONG KONG,"244,931",0.00%
C00011,PUBLIC BANK (HONG KONG) LTD,PUBLIC BANK CENTRE 120 DES VOEUX ROAD CENTRAL HONG KONG,"239,056",0.00%
B01373,CHRISTFUND SECURITIES LTD,SUITE 2701 27/F PROSPERITY TOWER 39 QUEEN'S ROAD CENTRAL HONG KONG,"236,619",0.00%
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,27/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG,"234,080",0.00%
B01564,ABCI SECURITIES CO LTD,13/F FAIRMONT HOUSE 8 COTTON TREE DRIVE CENTRAL HONG KONG,"233,258",0.00%
B01217,TAIPING SECURITIES (HK) CO LTD,RM 2901 CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG,"230,110",0.00%
B01138,CLSA LTD,18/F ONE PACIFIC PLACE 88 QUEENSWAY HONG KONG,"229,704",0.00%
C00088,CHINA MERCHANTS BANK CO LTD,21/F BANK OF AMERICA TOWER 12 HARCOURT ROAD HONG KONG,"228,472",0.00%
B01271,HANG TAI SECURITIES LTD,RM 506-508 5/F TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG,"219,537",0.00%
B01320,LUEN FAT SECURITIES CO LTD,UNITS 603-605 6/F FWD FINANCIAL CENTRE 308 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG,"218,718",0.00%
B01929,CHINA GALAXY INTERNATIONAL SECURITIES,20/F WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG,"210,756",0.00%
B01252,CORPORATE BROKERS LTD,18/F FORTIS TOWER 77-79 GLOUCESTER ROAD WANCHAI HONG KONG,"207,281",0.00%
B01253,STOCKWELL SECURITIES LTD,UNITS 406-410 4/F TOWER 2 SILVERCORD 30 CANTON ROAD TSIM SHA TSUI KOWLOON,"206,520",0.00%
B01740,BOOM.COM LTD,RM 2501 25/F AIA TOWER 183 ELECTRIC ROAD NORTH POINT HONG KONG,"189,783",0.00%
B01280,WING FAT SECURITIES LTD,RM 603A 6/F ADMIRALTY CENTRE TOWER 1 18 HARCOURT ROAD ADMIRALTY HONG KONG,"185,090",0.00%
B01240,TSUN CHI YUEN SECURITIES CO LTD,20/F MAN ON COMM BLDG 12 JUBILEE ST CENTRAL HONG KONG,"179,956",0.00%
B01231,HONG KONG INTERNATIONAL SECURITIES LTD,23/F ARION COMMERCIAL CENTRE 2-12 QUEEN'S ROAD WEST HONG KONG,"173,076",0.00%
B01556,LUK FOOK SECURITIES (HK) LTD,UNITS 2201-2207 & 2213-2214 22/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"167,001",0.00%
B01576,SIU ON SECURITIES LTD,32/F SIU ON CENTRE 188 LOCKHART ROAD WANCHAI HONG KONG,"162,851",0.00%
B01212,HENYEP SECURITIES LTD,10/F NINE QUEEN'S ROAD CENTRAL HONG KONG,"160,618",0.00%
B01230,PACIFIC FOUNDATION SECURITIES LTD,11/F NEW WORLD TOWER II 16-18 QUEEN'S ROAD CENTRAL  HONG KONG,"158,645",0.00%
B01708,ROSA SECURITIES LTD,ROOM 701 9 QUEEN'S ROAD CENTRAL HONG KONG,"155,206",0.00%
B01567,PRIME SECURITIES LTD,ROOM 1601-1602 16/F KAI TAK COMMERCIAL BUILDING 317-319 DES VOEUX ROAD CENTRAL HONG KONG,"153,635",0.00%
B01651,MING HON SECURITIES LTD,RM 602 10 POTTINGER STREET CENTRAL HONG KONG,"153,526",0.00%
B01173,RIFA SECURITIES LTD,LEVEL 7 28 HENNESSY ROAD WANCHAI HONG KONG,"152,293",0.00%
B01607,RHB SECURITIES HONG KONG LTD,12/F WORLDWIDE HOUSE 19 DES VOEUX ROAD CENTRAL HONG KONG,"151,603",0.00%
B01858,YUANTA SECURITIES (HONG KONG) CO LTD,23/F TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD ADMIRALTY HONG KONG,"150,619",0.00%
B01540,UPBEST SECURITIES CO LTD,2/F WAH KIT COMMERCIAL CENTRE 302 DES VOEUX ROAD CENTRAL HONG KONG,"149,204",0.00%
B01552,CARRIER STOCK INVESTMENT CO LTD,FLAT 1A 1/F MAN HING COMMERCIAL BUILDING 79-83 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"148,853",0.00%
B01826,GF SECURITIES (HONG KONG) BROKERAGE LTD,29/F-30/F LI PO CHUN CHAMBERS 189 DES VOEUX ROAD CENTRAL HONG KONG,"140,560",0.00%
C00070,OVERSEA-CHINESE BANKING CORPORATION LTD,9/F NINE QUEEN'S ROAD CENTRAL HONG KONG,"140,271",0.00%
B01247,KWAI HUNG SECURITIES CO LTD,19/F ADMIRALTY CENTRE TOWER II 18 HARCOURT ROAD HONG KONG,"139,704",0.00%
B01543,KWONG FAT HONG (SECURITIES) LTD,23/F & 24/F KWONG FAT HONG BUILDING 1 RUMSEY STREET CENTRAL HONG KONG,"136,242",0.00%
B01868,JIMEI SECURITIES LTD,RM 1305-1306 13/F JUBILEE CENTRE 18 FENWICK STREET / 46 GLOUCESTER ROAD WANCHAI HONG KONG,"135,552",0.00%
B01788,SUNRISE SECURITIES LTD,RM 701-702 YUE SHING COMMERCIAL BUILDING 15 QUEEN VICTORIA STREET CENTRAL HONG KONG,"133,877",0.00%
B01581,KINGSWAY FINANCIAL SERVICES GROUP LTD,7/F TOWER 1 LIPPO CENTRE 89 QUEENSWAY HONG KONG,"133,582",0.00%
B01445,VICTORY SECURITIES CO LTD,RM 1101-3 11/F YARDLEY COMMERCIAL BLDG 3 CONNAUGHT ROAD WEST SHEUNG WAN HONG KONG,"133,130",0.00%
B01588,LEI SHING HONG SECURITIES LTD,8/F NEW WORLD TOWER I 18 QUEEN'S ROAD CENTRAL HONG KONG,"130,854",0.00%
B01259,FAIR EAGLE SECURITIES CO LTD,RM 201 2/F CHINA EVERGRANDE CENTRE 38 GLOUCESTER ROAD WANCHAI HONG KONG,"130,724",0.00%
B01894,MAYFAIR & AYERS FINANCIAL GROUP LTD,UNITS 3103A-3108 31/F TOWER 2 LIPPO CENTRE 89 QUEENSWAY ADMIRALTY HONG KONG,"125,000",0.00%
B01296,MONTGOMERY SECURITIES LTD,RM 1203-1204 12/F TAI SANG BANK BLDG 130-132 DES VOEUX ROAD CENTRAL HONG KONG,"122,819",0.00%
B01198,PO KAY SECURITIES & SHARES CO LTD,14/F GRAND BUILDING 15-18 CONNAUGHT ROAD CENTRAL HONG KONG,"122,762",0.00%
B01324,LIPPO SECURITIES LTD,RM 1802 TOWER ONE LIPPO CENTRE 89 QUEENSWAY CENTRAL HONG KONG,"121,896",0.00%
B01340,LEHIN SECURITIES LTD,UNIT 1007 10/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG,"121,137",0.00%
B01292,ALPHA SECURITIES CO LTD,RM 3702A 37/F FAR EAST FINANCE CENTRE 16 HARCOURT ROAD ADMIRALTY HONG KONG,"120,808",0.00%
B01483,BULLISH SECURITIES LTD,RM B 7/F HILLIER COMMERCIAL BUILDING 89 WING LOK ST EAST CENTRAL HONG KONG,"120,273",0.00%
B01882,PING AN OF CHINA SECURITIES (HONG KONG),UNITS 3611-3613 36/F THE CENTER 99 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"119,628",0.00%
B01782,SEAGA INTERNATIONAL LTD,RM 801 DINA HOUSE RUTTONJEE CENTRE 11 DUDDELL STREET CENTRAL HONG KONG,"119,544",0.00%
B01633,ENLIGHTEN SECURITIES LTD,6/F & 24/F GOLDEN CENTRE 188 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG,"116,944",0.00%
B01706,MAN HON YEUNG SECURITIES LTD,FLAT B 7/F SHUN ON COMMERCIAL BUILDING 112-114 DES VOEUX ROAD CENTRAL HONG KONG,"116,680",0.00%
B01470,HUNG SING SECURITIES LTD,SUITE 2505 25/F WEST TOWER SHUN TAK CENTRE 200 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG,"112,232",0.00%
B01752,HOI SANG SECURITIES LTD,RM 704 HARVEST BLDG 29-35 WING KUT STREET CENTRAL HONG KONG,"112,160",0.00%
B01238,TAI YIP STOCK CO LTD,RM 304-307 CHINA INSURANCE GROUP BLDG 141 DES VOEUX ROAD CENTRAL HONG KONG,"107,460",0.00%
B01787,SOO PUI CHEN SECURITIES LTD,RM 802 CHEONG K BUILDING 86 DES VOEUX ROAD CENTRAL HONG KONG,"107,185",0.00%
B01469,KAISER SECURITIES LTD,3101-05 31/F WEST TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG,"107,104",0.00%
B01350,S. W. WOO & CO LTD,RM 1803 YUE SHING COMM BLDG 15 QUEEN VICTORIA ST CENTRAL HONG KONG,"106,660",0.00%
B01664,ROOFER SECURITIES LTD,7/F PEARL ORIENTAL HOUSE 60 STANLEY STREET CENTRAL HONG KONG,"105,968",0.00%
B01638,KILMOREY SECURITIES LTD,ROOM 3001 & 3008-3010 ALEXANDRA HOUSE 18 CHATER ROAD CENTRAL HONG KONG,"105,808",0.00%
B01415,TARZAN STOCK & SHARES LTD,6/F HING YIP COMMERCIAL CENTRE 272-284 DES VOEUX ROAD CENTRAL HONG KONG,"105,368",0.00%
B01563,HUARONG INTERNATIONAL SECURITIES LTD,29/F ONE PACIFIC PLACE 88 QUEENSWAY HONG KONG,"102,625",0.00%
B01814,WELL LINK SECURITIES LTD,UNIT 16-18 11/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL HONG KONG,"101,000",0.00%
,HARMONY ENTERPRISES LIMITED *,C/O HK PRESCHOOL (PICTORIAL) PODIUM PICTORIAL GARDEN PHASE II 23 ON KING STREET SHATIN NEW TERRITORIES,"100,720",0.00%
B01508,SOUTHWEST SECURITIES (HK) BROKERAGE LTD,40/F LEE GARDEN ONE 33 HYSAN AVENUE CAUSEWAY BAY HONG KONG,"98,312",0.00%
B01439,TAI TAK SECURITIES (ASIA) LTD,707A WING ON HOUSE 71 DES VOEUX ROAD CENTRAL HONG KONG,"93,984",0.00%
B01789,HO FUNG SHARES INVESTMENT LTD,FLAT 05-06 1/F WAH PO BUILDING 334-346 SHAU KEI WAN ROAD SHAU KEI WAN HONG KONG,"92,081",0.00%
B01700,REALINK FINANCIAL TRADE LTD,12/F ELITE CENTRE 22 HUNG TO ROAD NGAU TAU KOK KWUN TONG KOWLOON,"89,372",0.00%
B01647,TRUTH SECURITIES LTD,RM 402 4/F KAI WONG COMMERCIAL BUILDING 222 QUEEN'S ROAD CENTRAL HONG KONG,"87,892",0.00%
B01158,SOLID KING SECURITIES LTD,UNITS 1205-6 12/F WEST TOWER SHUN TAK CENTRE 200 CONNAUGHT ROAD CENTRAL HONG KONG,"87,181",0.00%
B01767,NEW GALA SECURITIES CO LTD,RM 1106 REGENT CENTRE 88 QUEEN'S ROAD CENTRAL HONG KONG,"85,328",0.00%
